Round,Heat,Sail Number,Skipper Name,Club,Observer
Q4,Heat 3,00,Andrew Holly,NSW Northern Mariners,
Q4,Heat 3,99,John Hudson,Wynnum Manly Radio Model Yacht Club,
Q4,Heat 3,36,Andrew Crocker,Albert Park Model Yacht Club,
Q4,Heat 3,72,Doug Allen,Sunshine Coast Radio Sailing Club,
Q4,Heat 3,124,John Glease,Lake Macquarie Radio Yacht Club,
Q4,Heat 3,37,Ian Gordon,Springfield Lakes Radio Yacht Club,
Q4,Heat 3,58,Bob Senior,North Shore Radio Yacht Squadron,
Q4,Heat 3,60,Glen Fitzgerald,North Brisbane Radio Yacht Club,
Q4,Heat 3,69,Bruce Benoit,Illawarra Radio Yacht Club,
Q4,Heat 3,35,John Levy,Nelson Radio Yacht Squadron,
Q4,Heat 3,02,Lindsay Walker,Kogarah Bay Radio Yacht Club,
Q4,Heat 3,39,Mark Wilson,Lake Macquarie Radio Yacht Club,
Q4,Heat 3,135,Graham Cowling,Paradise Radio Yacht Club,
Q4,Heat 3,137,Paul Bergamini,Gladstone Radio Control Yacht Club,
Q5,Heat 1,24,Chris Woods,Champion Lakes,
Q5,Heat 1,99,John Hudson,Wynnum Manly Radio Model Yacht Club,
Q5,Heat 1,60,Glen Fitzgerald,North Brisbane Radio Yacht Club,
Q5,Heat 1,69,Bruce Benoit,Illawarra Radio Yacht Club,
Q5,Heat 1,71,Sean Wallis,Champion Lakes,
Q5,Heat 1,158,Simon Kellett,Sunshine Coast Radio Sailing Club,
Q5,Heat 1,91,Peter Sherwood,Eagleby Radio Yacht Club,
Q5,Heat 1,81,Graham Clough,North Shore Radio Yacht Squadron,
Q5,Heat 1,02,Lindsay Walker,Kogarah Bay Radio Yacht Club,
Q5,Heat 1,181,Gary Mccarthy,Wynnum Manly Radio Model Yacht Club,
Q5,Heat 1,187,Andrew C Wilson,Eagleby Radio Yacht Club,
Q5,Heat 1,97,Derick Warne,Sunshine Coast Radio Sailing Club,
Q5,Heat 1,11,Wayne Keavy,Kogarah Bay Radio Yacht Club,
Q5,Heat 1,23,Philip Pryde,NZL Northern Maritime Model Society,
Q5,Heat 1,36,Andrew Crocker,Albert Park Model Yacht Club,
Q5,Heat 1,72,Doug Allen,Sunshine Coast Radio Sailing Club,
Q5,Heat 1,46,Mark Beneke,Fraser Coast Radio Yacht Club,
Q5,Heat 2,48,Paul Jones,Lake Macquarie Radio Yacht Club,
Q5,Heat 2,141,Michael Bourke,North Brisbane Radio Yacht Club,
Q5,Heat 2,66,Roger Paul,Champion Lakes,
Q5,Heat 2,73,Will Thomson,Wynnum Manly Radio Model Yacht Club,
Q5,Heat 2,07,Bruce Deane,Eagleby Radio Yacht Club,
Q5,Heat 2,58,Bob Senior,North Shore Radio Yacht Squadron,
Q5,Heat 2,124,John Glease,Lake Macquarie Radio Yacht Club,
Q5,Heat 2,86,Stephen Elkington,Redlands Radio Sailing Club,
Q5,Heat 2,133,Peter Mccully,North Shore Radio Yacht Squadron,
Q5,Heat 2,223,Philip Wells,Eagleby Radio Yacht Club,
Q5,Heat 2,271,Ben Thorburn,Gladstone Radio Control Yacht Club,
Q5,Heat 2,137,Paul Bergamini,Gladstone Radio Control Yacht Club,
Q5,Heat 2,10,Murray Walker,Springfield Lakes Radio Yacht Club,
Q5,Heat 2,41,Robert Mews,Champion Lakes,
Q5,Heat 2,35,John Levy,Nelson Radio Yacht Squadron,
Q5,Heat 2,39,Mark Wilson,Lake Macquarie Radio Yacht Club,
Q5,Heat 3,43,Jimmy Mee,Eagleby Radio Yacht Club,
Q5,Heat 3,50,Grant Hudson,Redlands Radio Sailing Club,
Q5,Heat 3,62,Trevor Shoebridge,North Shore Radio Yacht Squadron,
Q5,Heat 3,67,Garry Roberts,North Shore Radio Yacht Squadron,
Q5,Heat 3,37,Ian Gordon,Springfield Lakes Radio Yacht Club,
Q5,Heat 3,135,Graham Cowling,Paradise Radio Yacht Club,
Q5,Heat 3,00,Andrew Holly,NSW Northern Mariners,
Q5,Heat 3,161,Andrew R Wilson,Wynnum Manly Radio Model Yacht Club,
Q5,Heat 3,65,Vince Zweers,Illawarra Radio Yacht Club,
Q5,Heat 3,168,Lester Pearson,Illawarra Radio Yacht Club,
Q5,Heat 3,189,Graham Payn,Lake Macquarie Radio Yacht Club,
Q5,Heat 3,78,Brent Cowan,Pegasus Radio Sailing Club,
Q5,Heat 3,09,Daniel Bergan,Paradise Radio Yacht Club,
Q5,Heat 3,28,David Moll,Illawarra Radio Yacht Club,
Q5,Heat 3,34,Aaron Farrar,Gladstone Radio Control Yacht Club,
Q5,Heat 3,40,Garth Halton,North Brisbane Radio Yacht Club,
